road_id,type,from_area,to_area,description,crosses_river,is_bridge,confidence,preferred,popularity,scenic_score,hot_route_group,hot_route_name,notes,geometry_wkt
R144,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path151; needs_bridge_check,"LINESTRING(2631.6939 2437.4198, 2628.0962000000004 1900.4679)"
R145,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path152; needs_bridge_check,"LINESTRING(2628.0962 1900.4679, 2959.9809999999998 1899.5685)"
R146,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path153; needs_bridge_check,"LINESTRING(2631.6939 2437.4198, 2870.9388000000004 2437.4198, 2959.981 2360.9694, 2959.981 1899.5684999999999)"
R147,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path154; needs_bridge_check,"LINESTRING(2628.0962 1900.4679, 2562.4388 1902.2668, 2562.4388 1560.4883)"
R148,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path155; needs_bridge_check,"LINESTRING(2562.4388 1560.4883, 2955.484 1632.4417)"
R149,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path156; needs_bridge_check,"LINESTRING(2562.4388 1560.4883, 2322 1538.5)"
R150,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path157; needs_bridge_check,"LINESTRING(1492.7024 912.16775, 1504.7244999999998 646.68076)"
R151,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path158; needs_bridge_check,"LINESTRING(1588.1618 910.04643, 1568.5831 651.17784)"
R152,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path159; needs_bridge_check,"LINESTRING(1568.5831 651.17784, 1753.863 625.09475)"
R153,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path160; needs_bridge_check,"LINESTRING(1753.863 625.09475, 1799.7332000000001 432.61952999999994)"
R154,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path161; needs_bridge_check,"LINESTRING(1799.7332 432.61953, 2063.2624 409.23469)"
R155,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path162; needs_bridge_check,"LINESTRING(1753.863 625.09475, 1838.4082 731.22595, 1932.8469 746.51603, 2056.9665 669.1661799999999)"
R156,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path163; needs_bridge_check,"LINESTRING(2063.2624 409.23469, 2056.9665 669.1661799999999)"
R157,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path164; needs_bridge_check,"LINESTRING(2056.9665 669.16618, 2232.3528 661.97085)"
R158,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path165; needs_bridge_check,"LINESTRING(2056.9665 669.16618, 2065.0612 742.9183700000001)"
R159,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path166; needs_bridge_check,"LINESTRING(2065.0612 742.91837, 2116.328 703.34402, 2214.3644 696.14869)"
R160,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path167; needs_bridge_check,"LINESTRING(2214.3644 696.14869, 2232.3528 661.9708499999999)"
R161,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path168; needs_bridge_check,"LINESTRING(2232.3528 661.97085, 2351.0758 660.17201)"
R162,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path169; needs_bridge_check,"LINESTRING(2351.0758 660.17201, 2351.9752 583.72157)"
R163,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path170; needs_bridge_check,"LINESTRING(2351.9752 583.72157, 2409.5379 584.62099)"
R164,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path171; needs_bridge_check,"LINESTRING(2409.5379 584.62099, 2409.5379 688.95335, 2619.102 694.34985)"
R165,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path172; needs_bridge_check,"LINESTRING(2409.5379 584.62099, 2617.3032 580.12391)"
R166,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path173; needs_bridge_check,"LINESTRING(673.66327 1195.3251, 805.87755 956.97959)"
R167,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path174; needs_bridge_check,"LINESTRING(2049.1955 946.10887, 2065.0611999999996 742.9183700000001)"
R168,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path175; needs_bridge_check,"LINESTRING(1172.51 912.16775, 1492.7024000000001 912.16775)"
R169,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path176; needs_bridge_check,"LINESTRING(1172.51 912.16775, 1137.7348 1207.0312999999999)"
R170,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path177; needs_bridge_check,"LINESTRING(814.87172 641.28426, 818.46939 364.26385)"
R171,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path178; needs_bridge_check,"LINESTRING(818.46939 364.26385, 1034.3294 362.46501)"
R172,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path179; needs_bridge_check,"LINESTRING(1163.8455 440.71429, 1218.7098999999998 350.77259000000004, 1287.965 325.58892000000003)"
R173,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path180; needs_bridge_check,"LINESTRING(1287.965 325.58892, 1260.9824999999998 307.60058, 1277.1719999999998 232.94897999999998, 1305.0538999999999 193.37463999999997)"
R174,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path181; needs_bridge_check,"LINESTRING(1287.965 325.58892, 1455.2566 302.20408)"
R175,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path182; needs_bridge_check,"LINESTRING(1287.965 325.58892, 1342.8293999999999 401.13993999999997, 1417.4809999999998 438.01602999999994)"
R176,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path183; needs_bridge_check,"LINESTRING(1455.2566 302.20408, 1464.2506999999998 435.31777999999997)"
R177,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path184; needs_bridge_check,"LINESTRING(1163.8455 440.71429, 1118.8745999999999 502.77405, 1198.0232999999998 590.91691, 1317.6457999999998 613.40233, 1383.3031999999998 644.88192)"
R178,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path185; needs_bridge_check,"LINESTRING(1383.3032 644.88192, 1453.4577000000002 661.97085, 1504.7245000000003 646.6807600000001)"
R179,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path186; needs_bridge_check,"LINESTRING(1504.7245 646.68076, 1568.5831 651.17784)"
R180,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path187; needs_bridge_check,"LINESTRING(1383.3032 644.88192, 1426.4752 563.9344000000001)"
R181,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path189; needs_bridge_check,"LINESTRING(2214.3644 696.14869, 2269.2289 735.72303, 2300.7085 795.08455, 2303.4067 821.16764, 2347.4781 822.06706)"
R182,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path190; needs_bridge_check,"LINESTRING(2347.4781 822.06706, 2354.6735 921.90233, 2423.0292 926.39942)"
R183,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path191; needs_bridge_check,"LINESTRING(2423.0292 926.39942, 2398.7449 1030.7318)"
